SCORE,VALUE,AVG PROBLEMS,,,
13,0xa8,689.6580645,,,
8,0xf4,691.5,,,
9,0xa4,693.2138365,,,
8,0x24,696.04375,,,
11,0x74,696.8853503,,,
16,0xe8,697.1052632,,,
7,0xfc,697.2919255,,,
10,0x44,698.8607595,,,
11,0x64,702.089172,,,
11,0xff,702.7324841,,,
16,0x34,703.3092105,,,
14,0xb4,703.3506494,,,
10,0xe4,705.3227848,,,
8,0x8,705.45,,,
10,0x84,707.7658228,,,
15,0x0,710.1830065,,,
16,0xc4,713.2171053,,,
10,0x4,717.721519,,,
